track_id,track_name_spotify,track_url,track_popularity,track_duration_ms,track_preview_url,track_explicit,track_isrc,artist_id,artist_name_spotify,artist_url,artist_genres,artist_followers,artist_popularity,artist_image,album_id,album_name,album_url,album_release_date,album_total_tracks,album_label,album_image,Título_Original
0poeo0t5xT7I5OQq2IxT0x,Pedalando,https://open.spotify.com/track/0poeo0t5xT7I5OQq2IxT0x,13,274413,,False,BRG261600013,2pG3gLX9VMIXtbSRxvNKjC,Academia da Berlinda,https://open.spotify.com/artist/2pG3gLX9VMIXtbSRxvNKjC,nova mpb,99047,41,https://i.scdn.co/image/ab6761610000e5eb77f0e79e528b2df4d860e857,15NX1MFPiauDujhbHQKk44,Nada Sem Ela,https://open.spotify.com/album/15NX1MFPiauDujhbHQKk44,2016-07-01,14,Academia da Berlinda,https://i.scdn.co/image/ab67616d0000b2733b97420a379a1f8b736b190c,Pedalando
3ibRcLtd203sp2KRM8UjOY,Cade você,https://open.spotify.com/track/3ibRcLtd203sp2KRM8UjOY,48,182506,,False,BRWMB9704965,0qHOVLCmMmMgk9l3GsgmUB,Leandro & Leonardo,https://open.spotify.com/artist/0qHOVLCmMmMgk9l3GsgmUB,"sertanejo tradicional, sertanejo, brega",1947377,70,https://i.scdn.co/image/ab67616d0000b2736587dcf9d386227d272aecef,61MD8Pz2Wa5Ap1dOZc41fI,Volume 4,https://open.spotify.com/album/61MD8Pz2Wa5Ap1dOZc41fI,1990,12,WM Brazil,https://i.scdn.co/image/ab67616d0000b273e0cb91cc709af0823d623961,Cadê você
3idU6lZVKD6hvGjnpSHde8,Porque Eu Te Amo,https://open.spotify.com/track/3idU6lZVKD6hvGjnpSHde8,62,216829,,False,BRUM71802905,1sPg5EHuQXTMElpZ4iUgXe,ANAVITÓRIA,https://open.spotify.com/artist/1sPg5EHuQXTMElpZ4iUgXe,"mpb, nova mpb, brazilian pop",7335573,75,https://i.scdn.co/image/ab6761610000e5ebb19a04810bc403323d359b5f,0yiQu0POzXcfjEB6qBuhtj,O Tempo É Agora,https://open.spotify.com/album/0yiQu0POzXcfjEB6qBuhtj,2018-08-03,11,Universal Music Ltda.,https://i.scdn.co/image/ab67616d0000b2735d7cf1a8508aa994d4bde5c8,Porque Eu Te Amo
0enWVfa9O0tnwOfV4VWhtz,Guerra de Amor,https://open.spotify.com/track/0enWVfa9O0tnwOfV4VWhtz,35,220316,,False,BR90B2001931,0CdnnCbbKD4oIzBmxi2o7r,Manu,https://open.spotify.com/artist/0CdnnCbbKD4oIzBmxi2o7r,"tecnobrega, sertanejo, forró, piseiro, brega, arrocha, seresta, sertanejo universitário",993468,65,https://i.scdn.co/image/ab6761610000e5eb2c6a82e80f040ccc4a0b514e,6VzqGUYSgVFdtmz0oUIYaV,Manu,https://open.spotify.com/album/6VzqGUYSgVFdtmz0oUIYaV,2019-07-31,15,Manu,https://i.scdn.co/image/ab67616d0000b27398a2f657631ea15efe0748da,Guerra de amor
0R3ysqt4oYxhTXCSc4ap4Y,Mulatas,https://open.spotify.com/track/0R3ysqt4oYxhTXCSc4ap4Y,21,143478,,True,GBSMU6088475,3Hl21P35ibOe7iYpN0fDMs,Deejay Rifox,https://open.spotify.com/artist/3Hl21P35ibOe7iYpN0fDMs,"kuduro, afro house, kizomba",11429,42,https://i.scdn.co/image/ab6761610000e5eb9ffa00822a93618f6c79c6cf,1j5MuXjEwvN9aQNxCwNKKe,Mulatas,https://open.spotify.com/album/1j5MuXjEwvN9aQNxCwNKKe,2019-02-15,1,Guetto Recordz,https://i.scdn.co/image/ab67616d0000b2738e51fc50987ce189ba724d25,Mulatas
5rNz8TzxxheVpSKVNM3jQU,Bola de Berlim,https://open.spotify.com/track/5rNz8TzxxheVpSKVNM3jQU,8,159173,,False,TCACP1611856,4EKJxXaAZapG14Q5FTZoxm,Secos & Molhados,https://open.spotify.com/artist/4EKJxXaAZapG14Q5FTZoxm,"mpb, brazilian rock",483809,58,https://i.scdn.co/image/ab67616d0000b273f5461ff12ab6a88824ae6caa,3wGqM4DWnIYGB7RPGrjOZH,Teatro?,https://open.spotify.com/album/3wGqM4DWnIYGB7RPGrjOZH,2016-06-04,13,João Ricardo,https://i.scdn.co/image/ab67616d0000b27305a7c586c0c5b46f510c36d9,Bola de Berlim
283rVgJmgTeBnT1YpWjXg5,O Assassino de Xamãs - Fushiguro Toji,https://open.spotify.com/track/283rVgJmgTeBnT1YpWjXg5,28,289156,,True,QZMEM2211424,0rVzRhHB7PRsiNlRn2wc4B,anirap,https://open.spotify.com/artist/0rVzRhHB7PRsiNlRn2wc4B,"anime rap, anime",1208428,64,https://i.scdn.co/image/ab6761610000e5eba244f74b1ac9bb619b9cdcbe,69gdDZsopUmSPLGGraT0yq,O Assassino de Xamãs (Fushiguro Toji),https://open.spotify.com/album/69gdDZsopUmSPLGGraT0yq,2022-07-18,1,anirap,https://i.scdn.co/image/ab67616d0000b27391fe490397edebd902729612,O Assassino
0QlVWwtdBEKronbxtk0oF5,O hierofante,https://open.spotify.com/track/0QlVWwtdBEKronbxtk0oF5,30,137266,,False,BRWMB9804893,4EKJxXaAZapG14Q5FTZoxm,Secos & Molhados,https://open.spotify.com/artist/4EKJxXaAZapG14Q5FTZoxm,"mpb, brazilian rock",483809,58,https://i.scdn.co/image/ab67616d0000b273f5461ff12ab6a88824ae6caa,5zpJT7lcHVKZ4aujc0G8s3,Dois momentos,https://open.spotify.com/album/5zpJT7lcHVKZ4aujc0G8s3,1973,26,WM Brazil,https://i.scdn.co/image/ab67616d0000b2730f71c09eb377b18a7e9d44f5,O Hierofante
1wYkw1hm3E0fPN0ZmtflUu,Rei dos Reis (Playback),https://open.spotify.com/track/1wYkw1hm3E0fPN0ZmtflUu,1,293778,,False,BRMKP1600431,6MQhMvMTFK4nAQzoOKrwY3,Cassiane,https://open.spotify.com/artist/6MQhMvMTFK4nAQzoOKrwY3,"pentecostal, gospel, brazilian gospel, worship",2685668,61,https://i.scdn.co/image/ab6761610000e5eb4c0fda7fb05898ed660566cd,4j50ytUqJHU56o4zHYzJi0,Tempo de Excelência Remasterizado (Playback),https://open.spotify.com/album/4j50ytUqJHU56o4zHYzJi0,2016-10-25,14,MK Music,https://i.scdn.co/image/ab67616d0000b2733de979474c07518c055754f6,Rei Dos Reis (Playback)
5lsmaOUzQUvoqmgcgT5JX4,Parabéns Da Angélica,https://open.spotify.com/track/5lsmaOUzQUvoqmgcgT5JX4,24,172160,,False,BRSME9600432,1UKSfUEDY2N9iYnbhOe4RJ,Angélica,https://open.spotify.com/artist/1UKSfUEDY2N9iYnbhOe4RJ,"lullaby, brega",37133,32,https://i.scdn.co/image/ab67616d0000b273999bede53e547a20c34475a3,31GU139M0EKd6C4cO9wnQ9,Vinteum XXI - 21 Grandes Sucessos - Angélica,https://open.spotify.com/album/31GU139M0EKd6C4cO9wnQ9,1988,21,Sony Music Entertainment,https://i.scdn.co/image/ab67616d0000b273999bede53e547a20c34475a3,Parabéns da Angélica
